ID condition sub type order session sound_dist concept_dist answer RT score
A2XIYK3272U6BV sound 0 real 2 1 4 2 1 2255 1.0
A2XIYK3272U6BV sound 0 real 2 2 3 2 1 2271 1.0
A2XIYK3272U6BV sound 0 real 3 2 4 3 1 2255 1.0
A2XIYK3272U6BV sound 0 real 4 2 2 4 0 2218 1.0
A2XIYK3272U6BV sound 0 real 1 2 1 1 0 2233 1.0
A1CC1ESUM2JWJ2 sound 0 pre 4 0 NA NA 0 3079 1.0
A1CC1ESUM2JWJ2 sound 0 pre 3 0 NA NA 0 2463 1.0
A1CC1ESUM2JWJ2 sound 0 pre 1 0 NA NA 1 2372 1.0
A1CC1ESUM2JWJ2 sound 0 pre 2 0 NA NA 1 3503 1.0
A1CC1ESUM2JWJ2 sound 0 real 2 1 2 2 0 2912 1.0
A1CC1ESUM2JWJ2 sound 0 real 3 1 4 3 1 2809 1.0
A1CC1ESUM2JWJ2 sound 0 real 4 1 3 4 1 2448 1.0
A1CC1ESUM2JWJ2 sound 0 real 1 1 1 1 0 2383 1.0
A1CC1ESUM2JWJ2 sound 0 real 1 2 1 1 0 2201 1.0
A1CC1ESUM2JWJ2 sound 0 real 4 2 3 4 1 2379 1.0
A1CC1ESUM2JWJ2 sound 0 real 2 2 4 2 1 2265 1.0
A1CC1ESUM2JWJ2 sound 0 real 3 2 2 3 0 2164 1.0
A2DFTJ3HYB87OV sound 0 pre 4 0 NA NA 0 3152 1.0
A2DFTJ3HYB87OV sound 0 pre 1 0 NA NA 1 2543 1.0
A2DFTJ3HYB87OV sound 0 pre 3 0 NA NA 0 2294 1.0
A2DFTJ3HYB87OV sound 0 pre 2 0 NA NA 1 2033 1.0
A2DFTJ3HYB87OV sound 0 real 4 1 1 4 0 2615 1.0
A2DFTJ3HYB87OV sound 0 real 1 1 4 1 1 2095 1.0
A2DFTJ3HYB87OV sound 0 real 2 1 3 2 1 2478 1.0
A2DFTJ3HYB87OV sound 0 real 3 1 2 3 1 2322 1.0
A2DFTJ3HYB87OV sound 0 real 4 2 1 4 0 2092 1.0
A2DFTJ3HYB87OV sound 0 real 1 2 3 1 1 2401 1.0
A2DFTJ3HYB87OV sound 0 real 2 2 4 2 1 2188 1.0
A2DFTJ3HYB87OV sound 0 real 3 2 2 3 0 2363 1.0
AAK2T4X9RVCLG sound 0 pre 1 0 NA NA 1 3739 1.0
AAK2T4X9RVCLG sound 0 pre 3 0 NA NA 0 2441 1.0
AAK2T4X9RVCLG sound 0 pre 2 0 NA NA 1 2077 1.0
AAK2T4X9RVCLG sound 0 pre 4 0 NA NA 0 2277 1.0
AAK2T4X9RVCLG sound 0 real 2 1 3 2 0 6853 1.0
AAK2T4X9RVCLG sound 0 real 3 1 1 3 0 2243 1.0
AAK2T4X9RVCLG sound 0 real 4 1 4 4 1 2243 1.0
AAK2T4X9RVCLG sound 0 real 1 1 2 1 1 3447 1.0
AAK2T4X9RVCLG sound 0 real 2 2 2 2 0 4736 1.0
AAK2T4X9RVCLG sound 0 real 1 2 1 1 0 2317 1.0
AAK2T4X9RVCLG sound 0 real 3 2 4 3 1 2173 1.0
AAK2T4X9RVCLG sound 0 real 4 2 3 4 1 2173 1.0
A1AIHLAEJ8FU4J sound 0 pre 1 0 NA NA 1 1171 0.5
A1AIHLAEJ8FU4J sound 0 pre 2 0 NA NA 0 1944 0.5
A1AIHLAEJ8FU4J sound 0 pre 4 0 NA NA 1 0 0.5
A1AIHLAEJ8FU4J sound 0 pre 3 0 NA NA 0 116 0.5
A1AIHLAEJ8FU4J sound 0 real 4 1 2 4 1 474 0.5
A1AIHLAEJ8FU4J sound 0 real 3 1 1 3 0 237 0.5
A1AIHLAEJ8FU4J sound 0 real 1 1 3 1 0 334 0.5
A1AIHLAEJ8FU4J sound 0 real 2 1 4 2 0 332 0.5
A1AIHLAEJ8FU4J sound 0 real 2 2 4 2 1 645 0.5
A1AIHLAEJ8FU4J sound 0 real 3 2 3 3 0 99 0.5
A1AIHLAEJ8FU4J sound 0 real 4 2 1 4 0 219 0.5
A1AIHLAEJ8FU4J sound 0 real 1 2 2 1 1 117 0.5
A27O2IILV3S5YS sound 0 pre 2 0 NA NA 1 8179 1.0
A27O2IILV3S5YS sound 0 pre 3 0 NA NA 0 2961 1.0
A27O2IILV3S5YS sound 0 pre 4 0 NA NA 0 3537 1.0
A27O2IILV3S5YS sound 0 pre 1 0 NA NA 1 2448 1.0
A27O2IILV3S5YS sound 0 real 2 1 4 2 1 1845 1.0
A27O2IILV3S5YS sound 0 real 1 1 3 1 1 2453 1.0
A27O2IILV3S5YS sound 0 real 3 1 1 3 0 2305 1.0
A27O2IILV3S5YS sound 0 real 4 1 2 4 0 2482 1.0
A27O2IILV3S5YS sound 0 real 1 2 4 1 1 2376 1.0
A27O2IILV3S5YS sound 0 real 4 2 2 4 0 2750 1.0
A27O2IILV3S5YS sound 0 real 2 2 1 2 0 2279 1.0
A27O2IILV3S5YS sound 0 real 3 2 3 3 1 2293 1.0
A1X8LOVPPXWNI4 sound 0 pre 1 0 NA NA 1 6114 1.0
A1X8LOVPPXWNI4 sound 0 pre 3 0 NA NA 0 3632 1.0
A1X8LOVPPXWNI4 sound 0 pre 2 0 NA NA 1 2570 1.0
A1X8LOVPPXWNI4 sound 0 pre 4 0 NA NA 0 2903 1.0
A1X8LOVPPXWNI4 sound 0 real 4 1 1 4 0 3468 1.0
A1X8LOVPPXWNI4 sound 0 real 1 1 3 1 1 3179 1.0
A1X8LOVPPXWNI4 sound 0 real 3 1 2 3 0 4040 1.0
A1X8LOVPPXWNI4 sound 0 real 2 1 4 2 0 3152 1.0
A1X8LOVPPXWNI4 sound 0 real 2 2 2 2 1 2852 1.0
A1X8LOVPPXWNI4 sound 0 real 1 2 1 1 0 4184 1.0
A1X8LOVPPXWNI4 sound 0 real 3 2 4 3 1 3002 1.0
A1X8LOVPPXWNI4 sound 0 real 4 2 3 4 1 2811 1.0
A20O44S26VN11P sound 0 pre 1 0 NA NA 1 3009 1.0
A20O44S26VN11P sound 0 pre 3 0 NA NA 0 2624 1.0
A20O44S26VN11P sound 0 pre 4 0 NA NA 0 2187 1.0
A20O44S26VN11P sound 0 pre 2 0 NA NA 1 1931 1.0
A20O44S26VN11P sound 0 real 2 1 3 2 1 2299 1.0
A20O44S26VN11P sound 0 real 3 1 1 3 0 2227 1.0
A20O44S26VN11P sound 0 real 4 1 2 4 0 2267 1.0
A20O44S26VN11P sound 0 real 1 1 4 1 1 2108 1.0
A20O44S26VN11P sound 0 real 4 2 1 4 0 2370 1.0
A20O44S26VN11P sound 0 real 1 2 3 1 1 2163 1.0
