ID condition type session sound_dist concept_dist answer RT
AJFVK3O1D7SPE sound real 1 2 1 0 2868
AJFVK3O1D7SPE sound real 1 3 2 1 2498
AJFVK3O1D7SPE sound real 2 4 2 1 2634
AJFVK3O1D7SPE sound real 2 3 3 1 2477
AJFVK3O1D7SPE sound real 2 1 1 0 2671
AJFVK3O1D7SPE sound real 2 2 4 1 2274
A35RZ2HKE9VWJ5 joint pre 0 NA NA 1 4446
A35RZ2HKE9VWJ5 joint pre 0 NA NA 0 2409
A35RZ2HKE9VWJ5 joint pre 0 NA NA 0 2021
A35RZ2HKE9VWJ5 joint pre 0 NA NA 1 1622
A35RZ2HKE9VWJ5 joint real 1 4 3 0 3750
A35RZ2HKE9VWJ5 joint real 1 2 4 1 1676
A35RZ2HKE9VWJ5 joint real 1 1 2 0 2370
A35RZ2HKE9VWJ5 joint real 1 3 1 0 1915
A35RZ2HKE9VWJ5 joint real 2 2 4 1 1858
A35RZ2HKE9VWJ5 joint real 2 3 2 0 1859
A35RZ2HKE9VWJ5 joint real 2 1 1 0 1910
A35RZ2HKE9VWJ5 joint real 2 4 3 0 1591
A1B61S4S6W88NC sound pre 0 NA NA 1 6097
A1B61S4S6W88NC sound pre 0 NA NA 0 1876
A1B61S4S6W88NC sound pre 0 NA NA 1 1640
A1B61S4S6W88NC sound pre 0 NA NA 1 1197
A1B61S4S6W88NC sound real 1 3 2 1 6825
A1B61S4S6W88NC sound real 1 4 3 1 2316
A1B61S4S6W88NC sound real 1 1 4 0 2194
A1B61S4S6W88NC sound real 1 2 1 0 2989
A1B61S4S6W88NC sound real 2 2 2 0 2249
A1B61S4S6W88NC sound real 2 4 3 1 2574
A1B61S4S6W88NC sound real 2 3 4 1 2233
A1B61S4S6W88NC sound real 2 1 1 0 2022
A1A97N4SPIH6BK concept pre 0 NA NA 1 6717
A1A97N4SPIH6BK concept pre 0 NA NA 1 2385
A1A97N4SPIH6BK concept pre 0 NA NA 0 1997
A1A97N4SPIH6BK concept pre 0 NA NA 0 2795
A1A97N4SPIH6BK concept real 1 3 4 1 6987
A1A97N4SPIH6BK concept real 1 1 3 0 2216
A1A97N4SPIH6BK concept real 1 2 2 0 2095
A1A97N4SPIH6BK concept real 1 4 1 0 1745
A1A97N4SPIH6BK concept real 2 1 4 1 3142
A1A97N4SPIH6BK concept real 2 2 2 0 1940
A1A97N4SPIH6BK concept real 2 3 3 0 1702
A1A97N4SPIH6BK concept real 2 4 1 0 1684
